e_y_nm,sigmay_nm,nx,ny,nz,nm,seed,L,solver
8,1.9810,512,256,128,30000,1,2.260773,3d
12,2.4263,512,256,128,30000,1,1.793137,3d
16,2.8016,512,256,128,30000,1,1.526210,3d
20,3.1323,512,256,128,30000,1,1.345441,3d
2,0.9905,512,512,128,30000,1,4.739392,3d
1,0.7004,512,512,128,30000,1,6.901178,3d
0.5,0.4953,512,512,128,52700,1,11.373393,3d
1,0.7004,512,512,128,52700,1,7.665936,3d
2,0.9905,512,512,128,52700,1,5.214591,3d
4,1.4008,512,256,128,52700,1,3.429789,3d
8,1.9810,512,256,128,17000,1,2.243714,3d
12,2.4263,512,256,128,17000,1,1.795094,3d
16,2.8016,512,256,128,3000,1,1.456360,3d
20,3.1323,512,256,128,3000,1,1.296162,3d
0.5,0.4953,512,512,128,30000,1,10.952951,3d
1,0.7004,512,512,128,39800,1,7.295641,3d
2,0.9905,512,512,128,39800,1,4.833496,3d
8,1.9810,512,256,128,13000,1,2.123159,3d
0.5,0.4953,512,512,128,30000,2,10.712151,3d
0.5,0.4953,512,512,128,30000,3,11.016565,3d
0.5,0.4953,512,512,128,30000,4,11.030732,3d
0.5,0.4953,512,512,128,30000,5,10.575207,3d
0.5,0.4953,512,512,128,52700,2,11.150116,3d
0.5,0.4953,512,512,128,52700,3,11.289233,3d
0.5,0.4953,512,512,128,52700,4,11.164549,3d
0.5,0.4953,512,512,128,52700,5,11.091030,3d
4,1.4008,512,256,128,30000,2,3.226511,3d
4,1.4008,512,256,128,30000,3,3.238006,3d
4,1.4008,512,256,128,30000,4,3.351209,3d
4,1.4008,512,256,128,30000,5,3.230965,3d
4,1.4008,512,256,128,52700,2,3.333349,3d
4,1.4008,512,256,128,52700,3,3.228054,3d
4,1.4008,512,256,128,52700,4,3.251811,3d
4,1.4008,512,256,128,52700,5,3.248688,3d
12,2.4263,512,256,128,10000,2,1.671880,3d
12,2.4263,512,256,128,10000,3,1.791914,3d
12,2.4263,512,256,128,10000,4,1.691915,3d
12,2.4263,512,256,128,10000,5,1.778948,3d
12,2.4263,512,256,128,17000,2,1.754256,3d
12,2.4263,512,256,128,17000,3,1.810389,3d
12,2.4263,512,256,128,17000,4,1.811209,3d
12,2.4263,512,256,128,17000,5,1.800034,3d
16,2.8016,512,256,128,3000,2,1.403961,3d
16,2.8016,512,256,128,3000,3,1.379338,3d
16,2.8016,512,256,128,3000,4,1.450655,3d
16,2.8016,512,256,128,3000,5,1.394652,3d
16,2.8016,512,256,128,10000,2,1.438283,3d
16,2.8016,512,256,128,10000,3,1.524115,3d
16,2.8016,512,256,128,10000,4,1.477551,3d
16,2.8016,512,256,128,10000,5,1.529507,3d
20,3.1323,512,256,128,3000,2,1.286762,3d
20,3.1323,512,256,128,3000,3,1.232644,3d
20,3.1323,512,256,128,3000,4,1.319932,3d
20,3.1323,512,256,128,3000,5,1.255204,3d
20,3.1323,512,256,128,10000,2,1.278705,3d
20,3.1323,512,256,128,10000,3,1.345964,3d
20,3.1323,512,256,128,10000,4,1.320015,3d
20,3.1323,512,256,128,10000,5,1.352502,3d
2,0.9905,512,256,128,30000,1,4.669654,3d
2,0.9905,512,256,128,100000,1,5.015321,3d
2,0.9905,512,256,128,10000000,1,5.267536,3d
8,1.9810,512,256,128,13000,2,2.190122,3d
8,1.9810,512,256,128,13000,3,2.202640,3d
8,1.9810,512,256,128,13000,4,2.218154,3d
8,1.9810,512,256,128,13000,5,2.181370,3d
8,1.9810,512,256,128,17000,2,2.188256,3d
8,1.9810,512,256,128,17000,3,2.232499,3d
8,1.9810,512,256,128,17000,4,2.258162,3d
8,1.9810,512,256,128,17000,5,2.236202,3d
2,0.9905,512,512,128,39800,2,4.936035,3d
2,0.9905,512,512,128,39800,3,4.614802,3d
2,0.9905,512,512,128,39800,4,4.712843,3d
2,0.9905,512,512,128,39800,5,4.391909,3d
2,0.9905,512,512,128,52700,2,4.951751,3d
2,0.9905,512,512,128,52700,3,4.691159,3d
2,0.9905,512,512,128,52700,4,4.882104,3d
2,0.9905,512,512,128,52700,5,4.589107,3d
1,0.7004,512,512,128,39800,2,7.121285,3d
1,0.7004,512,512,128,39800,3,7.001729,3d
1,0.7004,512,512,128,39800,4,6.878631,3d
1,0.7004,512,512,128,39800,5,6.583217,3d
1,0.7004,512,512,128,52700,2,7.367084,3d
1,0.7004,512,512,128,52700,3,7.139527,3d
1,0.7004,512,512,128,52700,4,7.492821,3d
1,0.7004,512,512,128,52700,5,6.963147,3d
2,0.9905,512,256,128,50000,1,5.113274,3d
2,0.9905,512,256,128,100000000,1,5.272243,3d
1,0.7004,512,256,128,30000,1,6.673415,3d
1,0.7004,512,256,128,50000,1,7.530843,3d
1,0.7004,512,256,128,100000,1,7.492059,3d
1,0.7004,512,256,128,10000000,1,7.870344,3d
1,0.7004,512,256,128,100000000,1,7.869754,3d
4,1.4008,512,256,128,100000,2,3.347104,3d
4,1.4008,512,256,128,100000,3,3.373066,3d
4,1.4008,512,256,128,100000,4,3.338750,3d
4,1.4008,512,256,128,100000,5,3.302012,3d
20,3.1323,512,128,128,10000,1,1.287697,3d
20,3.1323,512,256,128,10000,1,1.315446,3d
20,3.1323,512,512,128,10000,1,1.321731,3d
20,3.1323,512,1024,128,10000,1,1.337153,3d
16,2.8016,512,128,128,14000,1,1.498184,3d
16,2.8016,512,256,128,14000,1,1.532965,3d
16,2.8016,512,512,128,14000,1,1.536192,3d
16,2.8016,512,1024,128,14000,1,1.543307,3d
12,2.4263,512,128,128,22000,1,1.743848,3d
12,2.4263,512,256,128,22000,1,1.782959,3d
12,2.4263,512,512,128,22000,1,1.787185,3d
12,2.4263,512,1024,128,22000,1,1.793510,3d
8,1.9810,512,128,128,40000,1,2.257575,3d
8,1.9810,512,256,128,40000,1,2.315131,3d
8,1.9810,512,512,128,40000,1,2.330195,3d
8,1.9810,512,1024,128,40000,1,2.331411,3d
4,1.4008,512,128,128,110000,1,3.305378,3d
4,1.4008,512,256,128,110000,1,3.397291,3d
4,1.4008,512,512,128,110000,1,3.431749,3d
4,1.4008,512,1024,128,110000,1,3.441978,3d
2,0.9905,512,128,128,310000,1,4.886601,3d
2,0.9905,512,256,128,310000,1,5.080070,3d
2,0.9905,512,512,128,310000,1,5.149638,3d
2,0.9905,512,1024,128,310000,1,5.171915,3d
1,0.7004,512,128,128,880000,1,7.546230,3d
1,0.7004,512,256,128,880000,1,7.837056,3d
1,0.7004,512,512,128,880000,1,7.925408,3d
1,0.7004,512,1024,128,880000,1,7.950164,3d
0.5,0.4953,512,128,128,2500000,1,11.237129,3d
0.5,0.4953,512,256,128,2500000,1,11.641979,3d
0.5,0.4953,512,512,128,2500000,1,11.746982,3d
0.5,0.4953,512,1024,128,2500000,1,11.770035,3d
20,3.1323,512,256,128,10000000,2,1.369793,3d
20,3.1323,512,256,128,10000000,3,1.370966,3d
20,3.1323,512,256,128,100000000,2,1.370757,3d
20,3.1323,512,256,128,100000000,3,1.370911,3d
16,2.8016,512,256,128,10000000,2,1.561896,3d
16,2.8016,512,256,128,10000000,3,1.563134,3d
16,2.8016,512,256,128,100000000,2,1.562856,3d
16,2.8016,512,256,128,100000000,3,1.563066,3d
12,2.4263,512,256,128,10000000,2,1.849883,3d
12,2.4263,512,256,128,10000000,3,1.851270,3d
12,2.4263,512,256,128,100000000,2,1.850827,3d
12,2.4263,512,256,128,100000000,3,1.851102,3d
