label,phase,stage,sim,e_y_nm,nx,ny,nz,nm,seed,nodes,walltime,qos,status,slurm_id,L_rate
P4a_ny_mid_ey8_s5,P4a,B_ny,ny_mid,8,8192,256,128,250000,5,1,00:30:00,overrun,pending,,
P4a_ny_hi_ey8_s1,P4a,B_ny,ny_hi,8,8192,512,128,500000,1,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey8_s2,P4a,B_ny,ny_hi,8,8192,512,128,500000,2,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey8_s3,P4a,B_ny,ny_hi,8,8192,512,128,500000,3,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey8_s4,P4a,B_ny,ny_hi,8,8192,512,128,500000,4,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey8_s5,P4a,B_ny,ny_hi,8,8192,512,128,500000,5,2,00:36:00,overrun,pending,,
P4a_ny_lo_ey12_s1,P4a,B_ny,ny_lo,12,8192,128,128,50000,1,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey12_s2,P4a,B_ny,ny_lo,12,8192,128,128,50000,2,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey12_s3,P4a,B_ny,ny_lo,12,8192,128,128,50000,3,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey12_s4,P4a,B_ny,ny_lo,12,8192,128,128,50000,4,1,00:30:00,overrun,pending,,
P4a_ny_lo_ey12_s5,P4a,B_ny,ny_lo,12,8192,128,128,50000,5,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey12_s1,P4a,B_ny,ny_mid,12,8192,256,128,100000,1,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey12_s2,P4a,B_ny,ny_mid,12,8192,256,128,100000,2,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey12_s3,P4a,B_ny,ny_mid,12,8192,256,128,100000,3,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey12_s4,P4a,B_ny,ny_mid,12,8192,256,128,100000,4,1,00:30:00,overrun,pending,,
P4a_ny_mid_ey12_s5,P4a,B_ny,ny_mid,12,8192,256,128,100000,5,1,00:30:00,overrun,pending,,
P4a_ny_hi_ey12_s1,P4a,B_ny,ny_hi,12,8192,512,128,200000,1,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey12_s2,P4a,B_ny,ny_hi,12,8192,512,128,200000,2,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey12_s3,P4a,B_ny,ny_hi,12,8192,512,128,200000,3,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey12_s4,P4a,B_ny,ny_hi,12,8192,512,128,200000,4,2,00:36:00,overrun,pending,,
P4a_ny_hi_ey12_s5,P4a,B_ny,ny_hi,12,8192,512,128,200000,5,2,00:36:00,overrun,pending,,
P4b_truth_y_ey2_s1,P4b,truth_y,truth_y,2,8192,1024,128,10000000,1,4,01:00:00,overrun,pending,,
P4b_truth_y_ey16_s1,P4b,truth_y,truth_y,16,8192,1024,128,400000,1,4,00:58:00,overrun,pending,,
P4b_truth_y_ey20_s1,P4b,truth_y,truth_y,20,8192,1024,128,200000,1,4,00:58:00,overrun,pending,,
P4b_ny_lo_ey2_s1,P4b,B_ny,ny_lo,2,8192,128,128,1250000,1,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey2_s2,P4b,B_ny,ny_lo,2,8192,128,128,1250000,2,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey2_s3,P4b,B_ny,ny_lo,2,8192,128,128,1250000,3,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey2_s4,P4b,B_ny,ny_lo,2,8192,128,128,1250000,4,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey2_s5,P4b,B_ny,ny_lo,2,8192,128,128,1250000,5,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey2_s1,P4b,B_ny,ny_mid,2,8192,256,128,2500000,1,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey2_s2,P4b,B_ny,ny_mid,2,8192,256,128,2500000,2,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey2_s3,P4b,B_ny,ny_mid,2,8192,256,128,2500000,3,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey2_s4,P4b,B_ny,ny_mid,2,8192,256,128,2500000,4,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey2_s5,P4b,B_ny,ny_mid,2,8192,256,128,2500000,5,1,00:30:00,overrun,pending,,
P4b_ny_hi_ey2_s1,P4b,B_ny,ny_hi,2,8192,512,128,5000000,1,2,00:39:00,overrun,pending,,
P4b_ny_hi_ey2_s2,P4b,B_ny,ny_hi,2,8192,512,128,5000000,2,2,00:39:00,overrun,pending,,
P4b_ny_hi_ey2_s3,P4b,B_ny,ny_hi,2,8192,512,128,5000000,3,2,00:39:00,overrun,pending,,
P4b_ny_hi_ey2_s4,P4b,B_ny,ny_hi,2,8192,512,128,5000000,4,2,00:39:00,overrun,pending,,
P4b_ny_hi_ey2_s5,P4b,B_ny,ny_hi,2,8192,512,128,5000000,5,2,00:39:00,overrun,pending,,
P4b_ny_lo_ey16_s1,P4b,B_ny,ny_lo,16,8192,128,128,50000,1,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey16_s2,P4b,B_ny,ny_lo,16,8192,128,128,50000,2,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey16_s3,P4b,B_ny,ny_lo,16,8192,128,128,50000,3,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey16_s4,P4b,B_ny,ny_lo,16,8192,128,128,50000,4,1,00:30:00,overrun,pending,,
P4b_ny_lo_ey16_s5,P4b,B_ny,ny_lo,16,8192,128,128,50000,5,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey16_s1,P4b,B_ny,ny_mid,16,8192,256,128,100000,1,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey16_s2,P4b,B_ny,ny_mid,16,8192,256,128,100000,2,1,00:30:00,overrun,pending,,
P4b_ny_mid_ey16_s3,P4b,B_ny,ny_mid,16,8192,256,128,100000,3,1,00:30:00,overrun,pending,,
